HYBRID DATASET STATISTICS
============================================================

total_samples: 229250
train_samples: 183400
test_samples: 45850
num_symptoms: 424
num_diseases: 402


Diseases:
------------------------------------------------------------
(vertigo) Paroymsal  Positional Vertigo: train=96, test=24, total=120
AIDS: train=96, test=24, total=120
Acne: train=96, test=24, total=120
Alcoholic hepatitis: train=96, test=24, total=120
Allergy: train=96, test=24, total=120
Arthritis: train=96, test=24, total=120
Bronchial Asthma: train=96, test=24, total=120
Cervical spondylosis: train=96, test=24, total=120
Chicken pox: train=96, test=24, total=120
Chronic cholestasis: train=96, test=24, total=120
Common Cold: train=96, test=24, total=120
Dengue: train=96, test=24, total=120
Diabetes : train=96, test=24, total=120
Dimorphic hemmorhoids(piles): train=96, test=24, total=120
Drug Reaction: train=96, test=24, total=120
Fungal infection: train=96, test=24, total=120
GERD: train=96, test=24, total=120
Gastroenteritis: train=96, test=24, total=120
Heart attack: train=96, test=24, total=120
Hepatitis B: train=96, test=24, total=120
Hepatitis C: train=96, test=24, total=120
Hepatitis D: train=96, test=24, total=120
Hepatitis E: train=96, test=24, total=120
Hypertension : train=96, test=24, total=120
Hyperthyroidism: train=96, test=24, total=120
Hypoglycemia: train=96, test=24, total=120
Hypothyroidism: train=96, test=24, total=120
Impetigo: train=96, test=24, total=120
Jaundice: train=96, test=24, total=120
Malaria: train=96, test=24, total=120
Migraine: train=96, test=24, total=120
Osteoarthristis: train=96, test=24, total=120
Paralysis (brain hemorrhage): train=96, test=24, total=120
Peptic ulcer diseae: train=96, test=24, total=120
Pneumonia: train=96, test=24, total=120
Psoriasis: train=96, test=24, total=120
Tuberculosis: train=96, test=24, total=120
Typhoid: train=96, test=24, total=120
Urinary tract infection: train=96, test=24, total=120
Varicose veins: train=96, test=24, total=120
abdominal hernia: train=326, test=81, total=407
abscess of nose: train=232, test=58, total=290
abscess of the pharynx: train=273, test=68, total=341
acne: train=397, test=99, total=496
actinic keratosis: train=727, test=182, total=909
acute bronchiolitis: train=963, test=241, total=1204
acute bronchitis: train=970, test=243, total=1213
acute bronchospasm: train=725, test=181, total=906
acute glaucoma: train=168, test=42, total=210
acute kidney injury: train=726, test=182, total=908
acute otitis media: train=546, test=137, total=683
acute pancreatitis: train=966, test=241, total=1207
acute respiratory distress syndrome (ards): train=361, test=90, total=451
acute sinusitis: train=725, test=181, total=906
acute stress reaction: train=728, test=182, total=910
adjustment reaction: train=402, test=101, total=503
alcohol abuse: train=408, test=102, total=510
alcohol intoxication: train=281, test=70, total=351
alcohol withdrawal: train=532, test=133, total=665
alcoholic liver disease: train=197, test=49, total=246
allergy: train=724, test=181, total=905
alopecia: train=272, test=68, total=340
alzheimer disease: train=269, test=67, total=336
anal fissure: train=181, test=45, total=226
anemia: train=265, test=66, total=331
angina: train=725, test=181, total=906
ankylosing spondylitis: train=485, test=121, total=606
anxiety: train=959, test=239, total=1198
aortic valve disease: train=361, test=90, total=451
aphthous ulcer: train=195, test=49, total=244
appendicitis: train=722, test=181, total=903
arrhythmia: train=206, test=52, total=258
arthritis of the hip: train=968, test=242, total=1210
asperger syndrome: train=270, test=68, total=338
asthma: train=723, test=181, total=904
astigmatism: train=257, test=64, total=321
athlete's foot: train=306, test=76, total=382
atrial flutter: train=192, test=48, total=240
atrophic skin condition: train=350, test=88, total=438
atrophic vaginitis: train=263, test=66, total=329
attention deficit hyperactivity disorder (adhd): train=406, test=101, total=507
autism: train=362, test=90, total=452
balanitis: train=363, test=91, total=454
bell palsy: train=548, test=137, total=685
benign kidney cyst: train=165, test=41, total=206
benign paroxysmal positional vertical (bppv): train=354, test=89, total=443
